index,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
11,EEA_3161-03-3,2009,2009-04--2009-10,FRGR0220,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
20,EEA_3161-05-5,2009,2009-01--2009-12,FRDR179,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
27,EEA_3161-01-1,2009,2009-01--2009-12,FRDR174,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
28,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
33,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0173,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
49,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
52,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
62,EEA_31615-01-7,2009,2009-01--2009-12,FRFR327C,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
78,EEA_3161-02-2,2009,2009-01--2009-12,ES014MSPFES-014-NR-038-000-02-02,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
85,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0175,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
87,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0176,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
90,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
95,EEA_3161-02-2,2007,2007-01--2007-12,UKSC023155,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
97,EEA_3161-02-2,2007,2007-01--2007-12,UKSC020433,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
99,EEA_3161-02-2,2007,2007-01--2007-12,UKSC005287,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
100,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010562,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
105,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010758,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
116,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0543,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
117,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0543,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
136,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0543,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
164,EEA_3161-01-1,2009,2009-01--2009-12,BG4ST600R1036,Bulgaria,4836884.0,4.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
179,EEA_3161-01-1,2009,2009-01--2009-12,FRHR232B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
180,EEA_3161-05-5,2009,2009-01--2009-12,FRHR232B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
183,EEA_3161-05-5,2009,2009-01--2009-12,FRHR233,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
210,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
213,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
221,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0248,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
227,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0112010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
230,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
244,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0143A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
256,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R548,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
266,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R557,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
268,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
273,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
280,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R700,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
301,EEA_3161-01-1,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
302,EEA_3161-01-1,2009,2009-01--2009-12,FRB1R475,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
305,EEA_31615-01-7,2009,2009-01--2009-12,FRB1R545,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
310,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R600,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
312,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R604,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
324,EEA_31615-01-7,2009,2009-01--2009-12,FRDR173B,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
327,EEA_31615-01-7,2009,2009-01--2009-12,FRDR172,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
328,EEA_3161-03-3,2009,2009-01--2009-12,FRDR1901,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
330,EEA_31615-01-7,2009,2009-01--2009-12,FRCR127,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
331,EEA_3161-02-2,2009,2009-01--2009-12,FRCR127,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
333,EEA_3161-02-2,2009,2009-01--2009-12,ES10788,Spain,50941692.0,1.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
334,EEA_3161-03-3,2009,2009-01--2009-12,FRHR321,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
338,EEA_3161-05-5,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
340,EEA_31615-01-7,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
353,EEA_3161-01-1,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
361,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0002,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
369,EEA_3161-03-3,2009,2009-01--2009-12,FRHR327,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
376,EEA_3161-03-3,2009,2009-01--2009-12,ES10788,Spain,50941692.0,1.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
378,EEA_3161-01-1,2009,2009-01--2009-12,FRHR354-I5030600,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
381,EEA_3161-02-2,2009,2009-01--2009-12,FRHR314,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
384,EEA_3161-02-2,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
391,EEA_3161-02-2,2009,2009-01--2009-12,FRHR315,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
397,EEA_31615-01-7,2009,2009-01--2009-12,FRHR354-I5030600,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
417,EEA_31615-01-7,2009,2009-01--2009-12,FRFR183,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
426,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0460C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
434,EEA_3161-02-2,2009,2009-01--2009-12,ES030MSPF0434021,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
441,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0517010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
450,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006806,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
451,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010084,United Kingdom,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
453,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010000,United Kingdom,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
454,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010156,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
472,EEA_31615-01-7,2008,2008-01--2008-12,FRDR498,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
473,EEA_3161-02-2,2008,2008-01--2008-12,FRDR498,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
475,EEA_3161-05-5,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
476,EEA_3161-02-2,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
479,EEA_3161-05-5,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
480,EEA_3161-02-2,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
484,EEA_3161-01-1,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
487,EEA_3161-01-1,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
501,EEA_31615-01-7,2008,2008-01--2008-12,FRDR541A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
523,EEA_3161-05-5,2008,2008-01--2008-12,FRDR2023,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
524,EEA_31615-01-7,2008,2008-01--2008-12,FRDR2023,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
533,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0366B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
538,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0426,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
539,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0431,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
542,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0366B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
552,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0361,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
554,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0433,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
562,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0361,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
563,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0444,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
577,EEA_3161-02-2,2008,2008-01--2008-12,FRDR579B,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
584,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0167A,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
588,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0005B,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
591,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
598,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
599,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
605,EEA_31615-01-7,2009,2009-01--2009-12,FRCR19,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
606,EEA_3161-02-2,2009,2009-01--2009-12,FRCR19,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
610,EEA_3161-01-1,2009,2009-01--2009-12,FRCR69,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
618,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0167A,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
623,EEA_3161-02-2,2009,2009-01--2009-12,FRGR1496,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
628,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
634,EEA_3161-05-5,2009,2009-01--2009-12,FRCR78,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
636,EEA_3161-05-5,2009,2009-01--2009-12,FRCR20,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
637,EEA_31615-01-7,2009,2009-01--2009-12,FRCR20,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
641,EEA_3161-01-1,2009,2009-01--2009-12,FRDR184,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
646,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
653,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010493,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
